depth (ft),WOB (lbf),RPM,ROP_data ft/hr
1381.8,29998.875,84.85,22.9
1381.8375,29957.75,88.8875,23.175
1381.9,30086.125,92.425,22.825
1381.925,30190.375,104.525,19.3375
1382,29817.625,101.85,22.7625
1382.0625,30151.125,88.5875,19.75
1382.1,30066.5,86.55,19.175
1382.175,30129.625,91.9875,17.825
1382.2001,30003.25,95.05,18.675
1382.2125,30058.25,96.2,20.75
1382.3,30086.125,92.8875,21.4625
1382.375,30228,90.25,20.3375
1382.4,30104.875,89.025,20.15
1382.4375,29953.5,91.775,17.9625
1382.525,29991.125,88.8625,20.6
1382.675,30228,92.875,16.7875
1382.775,30241.375,94.4,21.25
1382.8,30038.5,91.3375,22.6125
1382.875,30245.25,91.0375,19.55
1382.9,30178.875,90.725,19.5125
1382.925,30367.25,91.3375,20.2
1383,30329.25,87.45,21.6375
1383.0125,30124.125,87.7875,16.7875
1383.1,30212.875,87.1375,18.2
1383.1875,30310.375,86.6875,18.7125
1383.2001,30383.375,87.2,17.425
1383.2375,30510.375,94.7625,19.1
1383.3,30125.5,91.8,18.9625
1383.3625,30398.125,95.225,20.45
1383.4,30310.25,92.0625,20.7875
1383.5,30401.125,90.9625,21.1125
1383.5125,30468.25,87.675,25.325
1383.6,30407.875,86.725,27.0875
1383.6375,31137.5,84.5375,21.7375
1383.7001,31295.5,85.6125,21.275
1383.7375,31299.5,78.7125,27.2
1383.8,31340.5,79.525,27.1625
1383.8125,31573.75,92.6125,23.4875
1383.9,31365.125,89.975,24.5875
1383.9625,31531.25,83.625,26.7125
1384.075,31489.125,88.875,23.4625
1384.1,31405.5,90.0875,23.525
1384.1626,31293.75,90.575,25.2375
1384.2001,31209.375,88.5375,26.025
1384.275,31626.125,93.5,24.2
1384.3,31500.375,97.7,25.0625
1384.3625,31134,89.9625,25.85
1384.4,31238.5,85.6,25.3625
1384.4125,31525.5,94.6,17.2875
1384.5,31423.375,91.2,18.2625
1384.6,31217.375,97.05,19.9
1384.6875,31202.75,94.4125,19.3
1384.7001,31470.125,92.5625,20.675
1384.7876,31360.5,92.0875,17.7625
1384.8,31305.5,93.65,18.85
1384.9,30898.375,90.575,20.6
1384.9625,31447,90.5625,21.2125
1385,31169.125,90.8875,21.3
1385.1,31400.125,92.9,19.55
1385.1626,31095,92.275,22.925
1385.2001,30879.125,88.55,22.55
1385.275,31121.875,87.0125,22.4125
1385.3,31083.375,92.4375,21.625
1385.3251,30966.25,89.9625,20.9625
1385.4,30962.875,93.6125,20.425
1385.475,31261.125,92.275,17.7375
1385.5,31291.625,91.9625,17.2
1385.55,31101.875,92.2875,18.45
1385.6,31307,96.725,19.4625
1385.625,31074.25,88.725,19.325
1385.7001,31090.75,88.7375,20.5
1385.75,31427.5,84.55,16.0125
1385.8,31125.625,89.1875,16.525
1385.8501,30988.75,89.05,22.075
1385.9,31300.25,90.425,21.675
1385.975,31387.625,92.8875,23.575
1386,31032.75,87.4875,23.35
1386.0875,31197.5,93.5375,20.4875
1386.1,31057,95.2125,22.4625
1386.1125,31155.5,90.575,18.175
1386.2001,31209,91.4625,18.2
1386.275,31220.375,92.7375,21.7
1386.3,30671.25,88.875,21.5875
1386.3625,30706.5,89.1875,24.7375
1386.4,31320.25,91.3375,23.325
1386.45,31266.125,91.325,23.8125
1386.5,30989.25,88.725,24.4375
1386.5625,31300.375,86.3875,22.25
1386.6,30865.625,94.275,23.0375
1386.675,30795,93.975,25.2
1386.7001,31300.75,94.1375,26.8375
1386.7626,30952,91.95,27.4125
1386.8,31071.375,93.7875,25.9375
1386.8876,31127.625,84.7,26.6875
1386.9,31380,86.4125,25.2375
1386.9375,31022.625,91.925,20.475
1387,31213.875,95.35,19.8625
1387.0625,31058.125,87.5125,20.8375
1387.1,31106,90.2875,19.8875
1387.1125,31135,97.825,19.225
1387.2001,30918.75,99.0375,19.075
1387.2375,30873.625,99.825,25.325
1387.3,30777.875,95.375,25.7625
1387.375,31019.375,94.8625,17.075
